Name,Price,Product URL,Image URL,Description
Buy Set of 4 Evergreen Air Purifier Plant Pack online from Nurserylive at lowest price.,"Original price ₹ 1,296 Original price ₹ 1,296 Original price ₹ 1,296 Current price ₹ 972 ₹ 972 Current price ₹ 972 | /",https://nurserylive.com/collections/gardening-accessories/products/set-of-4-evergreen-air-purifier-plant-pack,https://nurserylive.com/cdn/shop/files/set-of-4-evergreen-air-purifier-plant-pack-1-758100.jpg?v=1752055744,"Buy Set of 4 Evergreen Air Purifier Plant Pack and 6000+ more gardening products online. ✓ Get 1 Free Product Today ✓ All India Delivery  ✓ Lowest prices.     Set of 4 Evergreen Air Purifier Plant Pack    Transform your indoor space into a lush, green oasis with our Set of 4 Evergreen Air Purifie..."
Buy Set of 2 Bonsai Looking Grafted Adeniums online from Nurserylive at lowest price.,Original price ₹ 998 Original price ₹ 998 Original price ₹ 998 Current price ₹ 759 ₹ 759 Current price ₹ 759 | /,https://nurserylive.com/collections/gardening-accessories/products/set-of-2-bonsai-looking-grafted-adeniums,https://nurserylive.com/cdn/shop/products/set-of-2-bonsai-looking-grafted-adeniums-3-319479.jpg?v=1680589599,"Buy Set of 2 Bonsai Looking Grafted Adeniums and 6000+ more gardening products online. ✓ Get 1 Free Product Today ✓ All India Delivery  ✓ Lowest prices. 
    Set of 2 Bonsai Looking Grafted Adeniums
    Transform your indoor or outdoor space with our exquisite Set of 2 Bonsai Looking Grafted Aden..."
Buy Artificial Grass (6.5 X 3 ft / 1.9 x 0.9 m) online from Nurserylive at lowest price.,"Original price ₹ 1,399 Original price ₹ 1,399 ₹ 1,399 ₹ 1,399 Current price ₹ 1,399 | /",https://nurserylive.com/collections/gardening-accessories/products/artificial-grass-6-5-3ft-1-9-0-9-m,https://nurserylive.com/cdn/shop/products/nurserylive-gardening-accessories-artificial-grass-6-5-x-3-ft-1-9-x-0-9-m-16968602681484.jpg?v=1634213731,"Buy Artificial Grass (6.5 X 3 ft / 1.9 x 0.9 m) and 6000+ more gardening products online. ✓ Get 1 Free Product Today ✓ All India Delivery  ✓ Lowest prices. 
    Artificial Grass (6.5 X 3 ft / 1.9 x 0.9 m)
    Transform your outdoor space with our premium Artificial Grass, measuring 6.5 x 3 ft (1...."
Buy 6Inch (15 cm) Coir Mulch Mat (set of 6) online from Nurserylive at lowest price.,Original price ₹ 259 Original price ₹ 259 ₹ 259 ₹ 259 Current price ₹ 259 | /,https://nurserylive.com/collections/gardening-accessories/products/6inch-coir-mulch-mat,https://nurserylive.com/cdn/shop/products/nurserylive-gardening-accessories-6inch-15-cm-coir-mulch-mat-16968523481228.jpg?v=1634210050,"Buy 6Inch (15 cm) Coir Mulch Mat (set of 6) and 6000+ more gardening products online. ✓ Get 1 Free Product Today ✓ All India Delivery  ✓ Lowest prices. 
    6 Inch (15 cm) Coir Mulch Mat (Set of 6)
    Enhance your gardening experience with our 6 Inch Coir Mulch Mat set, designed to provide optim..."
Buy Microgreens Coir Grow Mat (10 x 20 inch (25.4 x 50.8 cm) (Set of 20) online from Nurserylive at lowest price.,"Original price ₹ 1,299 Original price ₹ 1,299 ₹ 1,299 ₹ 1,299 Current price ₹ 1,299 | /",https://nurserylive.com/collections/gardening-accessories/products/microgreens-coir-grow-mat-10-x-20-inch-25-4-x-50-8-cm-set-of-20,https://nurserylive.com/cdn/shop/products/nurserylive-microgreens-coir-grow-mat-10-x-20-inch-25-4-x-50-8-cm-set-of-20-image.jpg?v=1634223973,"Buy Microgreens Coir Grow Mat (10 x 20 inch (25.4 x 50.8 cm) (Set of 20) and 6000+ more gardening products online. ✓ Get 1 Free Product Today ✓ All India Delivery  ✓ Lowest prices. 
Elevate your indoor gardening experience with our Microgreens Coir Grow Mat. Measuring 10 x 20 inches, this set of ..."
Buy 5 Best Fragrant Plants online from Nurserylive at lowest price.,"Original price ₹ 2,142 Original price ₹ 2,142 Original price ₹ 2,142 Current price ₹ 1,499 ₹ 1,499 Current price ₹ 1,499 | /",https://nurserylive.com/collections/gardening-accessories/products/5-best-fragrant-plants,https://nurserylive.com/cdn/shop/files/nurserylive-combo-packs-plants-5-best-fragrant-plants-16968509653132.jpg?v=1752425892,"Buy 5 Best Fragrant Plants and 6000+ more gardening products online. ✓ Get 1 Free Product Today ✓ All India Delivery  ✓ Lowest prices. 
5 Best Fragrant Plants
Transform your garden or indoor space into a fragrant paradise with our curated selection of the 5 Best Fragrant Plants. This unique colle..."
Buy Green Artificial Grass (6.5 X 4 ft / 1.9 x 1.2 m) online from Nurserylive at lowest price.,"Original price ₹ 1,859 Original price ₹ 1,859 ₹ 1,859 ₹ 1,859 Current price ₹ 1,859 | /",https://nurserylive.com/collections/gardening-accessories/products/green-artificial-glass-6-5-4-ft-1-9-1-2-m,https://nurserylive.com/cdn/shop/products/nurserylive-gardening-accessories-green-artificial-grass-6-5-x-4-ft-1-9-x-1-2-m-16968904671372.jpg?v=1634220796,"Buy Green Artificial Grass (6.5 X 4 ft / 1.9 x 1.2 m) and 6000+ more gardening products online. ✓ Get 1 Free Product Today ✓ All India Delivery  ✓ Lowest prices. 
    Green Artificial Grass (6.5 X 4 ft / 1.9 x 1.2 m)
    Transform your outdoor and indoor spaces with our premium Green Artificial G..."
Buy Round Metal Birdhouse (Red) online from Nurserylive at lowest price.,Original price ₹ 299 Original price ₹ 299 ₹ 299 ₹ 299 Current price ₹ 299 | /,https://nurserylive.com/collections/gardening-accessories/products/round-metal-birdhouse-red,https://nurserylive.com/cdn/shop/products/nurserylive-gardening-accessories-round-metal-birdhouse-red-16969271836812.jpg?v=1634227686,"Buy Round Metal Birdhouse (Red) and 6000+ more gardening products online. ✓ Get 1 Free Product Today ✓ All India Delivery  ✓ Lowest prices. 
    Round Metal Birdhouse (Red)
    Enhance your garden's charm with our stunning Round Metal Birdhouse in vibrant red. Crafted from durable metal, this bir..."
"Buy Anodised Aluminium Wire (2 mm, 33 ft /10 m) for Bonsai Training online from Nurserylive at lowest price.",Original price ₹ 259 Original price ₹ 259 ₹ 259 ₹ 259 Current price ₹ 259 | /,https://nurserylive.com/collections/gardening-accessories/products/anodised-aluminium-wire-2-mm-33-ft-10-m-for-bonsai-training,https://nurserylive.com/cdn/shop/products/nurserylive-anodised-aluminium-wire-2-mm-33-ft-10-m-for-bonsai-training.jpg?v=1634213359,"Buy Anodised Aluminium Wire (2 mm, 33 ft /10 m) for Bonsai Training and 6000+ more gardening products online. ✓ Get 1 Free Product Today ✓ All India Delivery  ✓ Lowest prices. 
    Anodised Aluminium Wire (2 mm, 33 ft / 10 m) for Bonsai Training
    Transform your bonsai gardening experience with..."
Buy Mini Succulent Garden Pack online from Nurserylive at lowest price.,Original price ₹ 829 Original price ₹ 829 Original price ₹ 829 Current price ₹ 499 ₹ 499 Current price ₹ 499 | /,https://nurserylive.com/collections/gardening-accessories/products/mini-succulent-garden-pack,https://nurserylive.com/cdn/shop/products/succulents-mix-4-600x600-466057.jpg?v=1685021422,"Buy Mini Succulent Garden Pack and 6000+ more gardening products online. ✓ Get 1 Free Product Today ✓ All India Delivery  ✓ Lowest prices. Mini Succulent Garden Pack
Transform your space with our Mini Succulent Garden Pack, featuring a delightful collection of 4 any variety beautiful succulents. ..."
Buy Best 6 Plants for Perfect Indoor Garden online from Nurserylive at lowest price.,"Original price ₹ 1,739 Original price ₹ 1,739 Original price ₹ 1,739 Current price ₹ 1,130 ₹ 1,130 Current price ₹ 1,130 | /",https://nurserylive.com/collections/gardening-accessories/products/best-6-plants-for-perfect-indoor-garden,https://nurserylive.com/cdn/shop/files/nurserylive-g-best-6-plants-for-perfect-indoor-garden-399356.jpg?v=1752564579,Buy Best 6 Plants for Perfect Indoor Garden and 6000+ more gardening products online. ✓ Get 1 Free Product Today ✓ All India Delivery  ✓ Lowest prices.     Best 6 Plants for Perfect Indoor Garden    Transform your living space into a lush oasis with our curated collection of the Best 6 Plants for...
Buy Moss Stick (2 Feet) (Set of 2) online from Nurserylive at lowest price.,Original price ₹ 259 Original price ₹ 259 ₹ 259 ₹ 259 Current price ₹ 259 | /,https://nurserylive.com/collections/gardening-accessories/products/moss-stick-2-feet-set-of-2,https://nurserylive.com/cdn/shop/products/nurserylive-gardening-accessories-moss-stick-2-feet-16969035972748.jpg?v=1634224467,"Buy Moss Stick (2 Feet) (Set of 2) and 6000+ more gardening products online. ✓ Get 1 Free Product Today ✓ All India Delivery  ✓ Lowest prices. 
    Moss Stick (2 Feet) - Set of 2
    Enhance your indoor gardening experience with our premium Moss Stick set, designed to support your climbing plants..."
Buy Top 4 Die Hard Succulents Pack online from Nurserylive at lowest price.,"Original price ₹ 1,014 Original price ₹ 1,014 Original price ₹ 1,014 Current price ₹ 559 ₹ 559 Current price ₹ 559 | /",https://nurserylive.com/collections/gardening-accessories/products/top-4-die-hard-succulents-pack,https://nurserylive.com/cdn/shop/products/nurserylive-g-top-4-die-hard-succulents-pack-980804.jpg?v=1679751768,"Buy Top 4 Die Hard Succulents Pack and 6000+ more gardening products online. ✓ Get 1 Free Product Today ✓ All India Delivery  ✓ Lowest prices. 
    Top 4 Die Hard Succulents Pack
    Transform your indoor or outdoor space with our Top 4 Die Hard Succulents Pack, featuring a curated selection of r..."
"Buy Anodised Aluminium Wire (1 mm, 33 ft /10 m) for Bonsai Training online from Nurserylive at lowest price.",Original price ₹ 159 Original price ₹ 159 ₹ 159 ₹ 159 Current price ₹ 159 | /,https://nurserylive.com/collections/gardening-accessories/products/anodised-aluminium-wire-1-mm-33-ft-10-m-for-bonsai-training,https://nurserylive.com/cdn/shop/products/nurserylive-anodised-aluminium-wire-1-mm-33-ft-10-m-for-bonsai-training.jpg?v=1634213357,"Buy Anodised Aluminium Wire (1 mm, 33 ft /10 m) for Bonsai Training and 6000+ more gardening products online. ✓ Get 1 Free Product Today ✓ All India Delivery  ✓ Lowest prices. 
    Anodised Aluminium Wire (1 mm, 33 ft / 10 m) for Bonsai Training
    Transform your bonsai gardening experience with..."
Buy Moss Stick (3 Feet) (Set of 2) online from Nurserylive at lowest price.,Original price ₹ 299 Original price ₹ 299 ₹ 299 ₹ 299 Current price ₹ 299 | /,https://nurserylive.com/collections/gardening-accessories/products/moss-stick-3-feet-set-of-2,https://nurserylive.com/cdn/shop/products/nurserylive-gardening-accessories-moss-stick-3-feet-16969036038284.jpg?v=1634224468,"Buy Moss Stick (3 Feet) (Set of 2) and 6000+ more gardening products online. ✓ Get 1 Free Product Today ✓ All India Delivery  ✓ Lowest prices. 
    Moss Stick (3 Feet) - Set of 2
    Enhance your indoor gardening experience with our premium Moss Stick set, designed to support climbing plants and ..."
Buy 3ft Coir Pole (set of 2) online from Nurserylive at lowest price.,Original price ₹ 259 Original price ₹ 259 ₹ 259 ₹ 259 Current price ₹ 259 | /,https://nurserylive.com/collections/gardening-accessories/products/3ft-coir-pole-set-of-2,https://nurserylive.com/cdn/shop/products/nurserylive-gardening-accessories-3ft-coir-pole-781850.jpg?v=1679748351,"Buy 3ft Coir Pole (set of 2) and 6000+ more gardening products online. ✓ Get 1 Free Product Today ✓ All India Delivery  ✓ Lowest prices. 
    3ft Coir Pole (Set of 2)
    Enhance your indoor and outdoor gardening experience with our 3ft Coir Pole set. Crafted from natural coconut coir, these pole..."
Buy 2ft Coir Pole (set of 2) online from Nurserylive at lowest price.,Original price ₹ 199 Original price ₹ 199 ₹ 199 ₹ 199 Current price ₹ 199 | /,https://nurserylive.com/collections/gardening-accessories/products/2ft-coir-pole-set-of-2,https://nurserylive.com/cdn/shop/products/nurserylive-gardening-accessories-2ft-coir-pole-254594.jpg?v=1679748300,"Buy 2ft Coir Pole (set of 2) and 6000+ more gardening products online. ✓ Get 1 Free Product Today ✓ All India Delivery  ✓ Lowest prices. 
    2ft Coir Pole (Set of 2)
    Enhance your indoor and outdoor gardening experience with our 2ft Coir Pole set. Crafted from natural coconut coir, these pole..."
Buy 10Inch (25 cm) Coir Mulch Mat (set of 6) online from Nurserylive at lowest price.,Original price ₹ 259 Original price ₹ 259 ₹ 259 ₹ 259 Current price ₹ 259 | /,https://nurserylive.com/collections/gardening-accessories/products/10inch-coir-mulch-mat,https://nurserylive.com/cdn/shop/products/nurserylive-gardening-accessories-10inch-25-cm-coir-mulch-mat-16968374026380.jpg?v=1634206465,"Buy 10Inch (25 cm) Coir Mulch Mat (set of 6) and 6000+ more gardening products online. ✓ Get 1 Free Product Today ✓ All India Delivery  ✓ Lowest prices. 
    10 Inch (25 cm) Coir Mulch Mat (Set of 6)
    Enhance your gardening experience with our 10 Inch (25 cm) Coir Mulch Mat set of 6. Made from..."
Buy 5 Best Indoor Plants Pack online from Nurserylive at lowest price.,"Original price ₹ 1,905 Original price ₹ 1,905 Original price ₹ 1,905 Current price ₹ 1,334 ₹ 1,334 Current price ₹ 1,334 | /",https://nurserylive.com/collections/gardening-accessories/products/5-best-indoor-plants-pack,https://nurserylive.com/cdn/shop/files/ChatGPTImageJul19_2025_05_09_54PM.jpg?v=1753045482,"Buy 5 Best Indoor Plants Pack and 6000+ more gardening products online. ✓ Get 1 Free Product Today ✓ All India Delivery  ✓ Lowest prices. 
5 Best Indoor Plants Pack
Transform your living space into a lush oasis with our '5 Best Indoor Plants Pack.' This carefully curated collection features five ..."
